,0
0,SAMD11
1,NOC2L
2,KLHL17
3,PLEKHN1
4,PERM1
5,HES4
6,ISG15
7,AGRN
8,RNF223
9,C1orf159
10,TTLL10
11,TNFRSF18
12,TNFRSF4
13,SDF4
14,B3GALT6
15,C1QTNF12
16,UBE2J2
17,SCNN1D
18,ACAP3
19,PUSL1
20,INTS11
21,CPTP
22,TAS1R3
23,DVL1
24,MXRA8
25,AURKAIP1
26,CCNL2
27,ANKRD65
28,VWA1
29,ATAD3C
30,ATAD3B
31,ATAD3A
32,TMEM240
33,SSU72
34,FNDC10
35,MIB2
36,MMP23B
37,CDK11B
38,CDK11A
39,NADK
40,GNB1
41,CALML6
42,TMEM52
43,CFAP74
44,GABRD
45,PRKCZ
46,FAAP20
47,SKI
48,RER1
49,PEX10
50,PLCH2
51,PANK4
52,HES5
53,TNFRSF14
54,PRXL2B
55,PRDM16
56,ARHGEF16
57,MEGF6
58,TPRG1L
59,WRAP73
60,TP73
61,SMIM1
62,LRRC47
63,CEP104
64,DFFB
65,C1orf174
66,AJAP1
67,NPHP4
68,KCNAB2
69,CHD5
70,RNF207
71,ICMT
72,GPR153
73,ACOT7
74,HES2
75,ESPN
76,TNFRSF25
77,PLEKHG5
78,NOL9
79,ZBTB48
80,KLHL21
81,PHF13
82,THAP3
83,DNAJC11
84,CAMTA1
85,VAMP3
86,PER3
87,UTS2
88,TNFRSF9
89,ERRFI1
90,SLC45A1
91,RERE
92,ENO1
93,CA6
94,SLC2A7
95,SLC2A5
96,GPR157
97,H6PD
98,SPSB1
99,SLC25A33
100,TMEM201
101,PIK3CD
102,CLSTN1
103,CTNNBIP1
104,LZIC
105,NMNAT1
106,RBP7
107,UBE4B
108,KIF1B
109,PGD
110,CENPS
111,CORT
112,DFFA
113,PEX14
114,CASZ1
115,C1orf127
116,SRM
117,EXOSC10
118,MTOR
119,ANGPTL7
120,UBIAD1
121,FBXO2
122,FBXO44
123,FBXO6
124,MAD2L2
125,DRAXIN
126,AGTRAP
127,MTHFR
128,CLCN6
129,KIAA2013
130,PLOD1
131,MFN2
132,MIIP
133,TNFRSF8
134,TNFRSF1B
135,VPS13D
136,DHRS3
137,C1orf158
138,PRAMEF11
139,PRAMEF2
140,PRAMEF10
141,PRAMEF27
142,HNRNPCL2
143,PRAMEF18
144,PRAMEF15
145,PRAMEF14
146,LRRC38
147,PDPN
148,PRDM2
149,KAZN
150,TMEM51
151,FHAD1
152,EFHD2
153,CTRC
154,CELA2B
155,CASP9
156,DNAJC16
157,AGMAT
158,DDI2
159,PLEKHM2
160,SLC25A34
161,TMEM82
162,FBLIM1
163,UQCRHL
164,SPEN
165,ZBTB17
166,HSPB7
167,FAM131C
168,EPHA2
169,ARHGEF19
170,CPLANE2
171,FBXO42
172,SZRD1
173,SPATA21
174,NECAP2
175,NBPF1
176,CROCC
177,MFAP2
178,ATP13A2
179,SDHB
180,PADI2
181,PADI1
182,PADI3
183,PADI4
184,RCC2
185,ARHGEF10L
186,ACTL8
187,IGSF21
188,ALDH4A1
189,UBR4
190,EMC1
191,MRTO4
192,AKR7A2
193,SLC66A1
194,CAPZB
195,MICOS10
196,NBL1
197,RNF186
198,OTUD3
199,PLA2G2E
200,PLA2G2A
201,PLA2G5
202,PLA2G2D
203,PLA2G2F
204,PLA2G2C
205,UBXN10
206,VWA5B1
207,CAMK2N1
208,MUL1
209,FAM43B
210,CDA
211,PINK1
212,DDOST
213,HP1BP3
214,EIF4G3
215,ECE1
216,NBPF3
217,ALPL
218,RAP1GAP
219,USP48
220,HSPG2
221,CELA3B
222,CELA3A
223,WNT4
224,ZBTB40
225,C1QA
226,C1QC
227,C1QB
228,EPHB2
229,TEX46
230,KDM1A
231,LUZP1
232,HTR1D
233,HNRNPR
234,ZNF436
235,TCEA3
236,ASAP3
237,E2F2
238,ID3
239,ELOA
240,PITHD1
241,GALE
242,HMGCL
243,FUCA1
244,CNR2
245,PNRC2
246,SRSF10
247,MYOM3
248,IL22RA1
249,IFNLR1
250,GRHL3
251,STPG1
252,NIPAL3
253,RCAN3
254,NCMAP
255,SRRM1
256,CLIC4
257,RUNX3
258,SYF2
259,RSRP1
260,TMEM50A
261,RHCE
262,MACO1
263,LDLRAP1
264,MAN1C1
265,SELENON
266,MTFR1L
267,AUNIP
268,PAQR7
269,STMN1
270,PAFAH2
271,EXTL1
272,SLC30A2
273,TRIM63
274,PDIK1L
275,FAM110D
276,C1orf232
277,ZNF593
278,CNKSR1
279,CATSPER4
280,CEP85
