	highly_variable	highly_variable_rank	means	variances	variances_norm
SAMD11	True	5627.0	0.0021005358461736266	0.002234737913014611	0.9971944046447279
NOC2L	True	4512.0	0.01499387333379538	0.01661344419014313	1.0079092197504493
KLHL17	True	7643.0	0.005766864821926212	0.006092914294424411	0.9920055634311656
PLEKHN1	True	6191.0	0.006027603039639772	0.0064244717106592564	0.9989235659011698
PERM1	True	10974.5	0.00016613847443469834	0.00017429383383723605	1.0088246440938724
HES4	True	5228.5	0.016173084550473303	0.01782136664854189	1.005768658822125
ISG15	True	2071.5	0.04088097529731658	0.0594979639079204	1.055471336724752
AGRN	True	5785.5	0.06413602228040927	0.08182170669197182	1.0055454586161336
RNF223	True	10856.5	0.0006438485804025287	0.0006689748131961042	0.9860894260727162
C1orf159	True	7965.0	0.004516858777709325	0.004736490252117556	0.9923671240273687
TTLL10	True	11654.5	0.0005900395521154698	0.0006152321725672467	1.000383875571796
TNFRSF18	True	3199.0	0.007917614162238684	0.008786293965899385	1.024635439738018
TNFRSF4	True	2600.0	0.005082969430148752	0.005586544951903178	1.025759482495083
SDF4	True	16123.5	0.09847672096212526	0.12778069902665318	0.9282848377994827
B3GALT6	True	7226.5	0.005693838283536632	0.006016013292402123	0.9970678765799553
C1QTNF12	True	7587.5	0.0017698706884741186	0.0018716288882510367	0.9935777252258998
UBE2J2	True	7476.5	0.027129173035824787	0.02979108845383149	0.9918087808539041
SCNN1D	True	9706.5	0.0011452396181741108	0.0011843469544144394	0.9829340832683207
ACAP3	True	10797.5	0.02752616959936203	0.030081582057856767	0.9810621186913346
PUSL1	True	7612.5	0.007205574416956241	0.00762578588859419	0.994223042353041
INTS11	True	13613.5	0.047289209020922415	0.05350567519558393	0.970037130465368
CPTP	True	7576.0	0.015309040499476725	0.01654934076682668	0.9966500545902663
TAS1R3	True	6693.5	0.0023333776782544944	0.002458860368293739	1.0019642626216576
DVL1	True	6435.0	0.03121903113744971	0.03553232251432279	1.002081679100098
MXRA8	True	4131.0	0.04368871551526298	0.05293286920672895	1.0108421913217451
AURKAIP1	True	6726.5	0.030826621979549843	0.03631607150287601	0.9958090953784619
CCNL2	True	16455.0	0.1925972663277855	0.2650250501515191	0.804541353652505
ANKRD65	True	9139.0	0.0016054679891454543	0.001680752581966851	0.987178092992548
VWA1	True	2093.5	0.02267938956757007	0.027369883889217975	1.048437598189356
ATAD3C	True	8131.0	0.0012746788475098013	0.0013323185280090597	0.9951213873738113
ATAD3B	True	6603.5	0.007258143605881847	0.007844229168857223	0.994318919346273
ATAD3A	True	4833.0	0.014433713910290927	0.016046955792458253	1.009207254776595
TMEM240	True	8970.5	0.004063945458970554	0.004259690833091052	0.9893387250195598
SSU72	True	10260.0	0.035127128788685624	0.03942191018002341	0.983378899120745
FNDC10	True	8510.5	0.0019745681670500044	0.002070600556857994	0.9869487591823489
MIB2	True	6158.0	0.020810207746243564	0.02292080027556971	0.9977335718365777
MMP23B	True	7799.5	0.005232122105331545	0.005539256350105264	0.9949567728668182
CDK11B	True	10252.0	0.011622006206387876	0.012273490790748022	0.9842110734896827
CDK11A	True	10217.0	0.0032863182114672494	0.0034205799534671928	0.9868019920772069
NADK	True	8494.0	0.022916570837416023	0.024945721763803903	0.9891833972345039
GNB1	True	16050.0	0.0773487423875413	0.09076519624494345	0.9245764884907939
CALML6	True	9524.0	0.0006821596166714256	0.0007099627003939061	0.9907057123999137
TMEM52	True	3856.5	0.004032205571317358	0.0043206999402905216	1.0062752896126226
CFAP74	True	11064.5	0.00016117911698888644	0.00016437674100098625	0.9920882951081286
GABRD	True	3348.0	0.0005971066364757517	0.0006386567497407165	1.019314532223676
PRKCZ	True	5209.5	0.01872256622942905	0.02098710352645401	1.0036452767273258
FAAP20	True	11292.0	0.02209951669821851	0.023816805236849772	0.9808432985262648
SKI	True	15134.5	0.054125683259974106	0.06152197943727717	0.9533784226042539
RER1	True	13602.5	0.07314568695221572	0.08928380637922027	0.9687242782245907
PEX10	True	9303.0	0.00566804962481841	0.005952826517111248	0.9883291808337152
PLCH2	True	8093.0	0.0014108132093973377	0.0014737905807520207	0.9922632548816985
PANK4	True	9542.0	0.014604439790363001	0.015528332716361141	0.9872551679215661
HES5	True	6900.0	0.0006998893195402031	0.0007442817516441755	1.0196001364865404
TNFRSF14	True	15459.5	0.056048426141715374	0.06341985384542721	0.9486154289822696
PRXL2B	True	4887.0	0.017708749583568953	0.01973373722199441	1.0052427484868451
PRDM16	True	8195.5	0.0013799412092971586	0.0014405250539752381	0.9897427504493728
ARHGEF16	True	2605.5	0.02025612353561023	0.02320255695886245	1.0351089312780268
MEGF6	True	4231.0	0.017188512987503287	0.01973379040041578	1.0174127628580198
TPRG1L	True	7706.5	0.02297273556048984	0.025517562050678188	0.9913289950735423
WRAP73	True	7769.5	0.013835863370198303	0.014786326140164613	0.9905793475897587
TP73	True	5386.5	0.004090725989177938	0.004352956346082982	1.0049009614699125
SMIM1	True	9946.5	0.0011013493047786756	0.0011417950785966072	0.9837715473301848
LRRC47	True	9900.5	0.03612978688029264	0.04123216828026505	0.9841442200641605
CEP104	True	10312.5	0.015192867551308583	0.01620188569710351	0.9825280940964352
DFFB	True	9055.5	0.006388644261694878	0.0066967211127911	0.9851132422452434
C1orf174	True	6782.0	0.02574551230844327	0.02860953149913052	0.9973191473588053
AJAP1	True	5963.0	0.0008416029585542778	0.000899167224485012	1.0118096323507924
NPHP4	True	7370.5	0.004770653894998748	0.005018180359383383	0.9940279852703545
KCNAB2	True	10958.0	0.016926782898300564	0.018033848597195035	0.981010516891532
CHD5	True	6626.0	0.00031615903717050804	0.0003351526483536438	1.0043395910962511
RNF207	True	8478.0	0.0041197382302359375	0.004342551458061898	0.9900543835155623
ICMT	True	6107.0	0.0179105954316135	0.01969183209777679	0.9983847122798103
GPR153	True	6084.5	0.009620905477002778	0.01054178965586959	0.9992928754257605
ACOT7	True	4115.5	0.022606610997052776	0.025505609478306823	1.0144371664626508
HES2	True	4415.0	0.0037429510482903795	0.0040319586055776865	1.0065045337535687
ESPN	True	9324.5	0.0002795837760076453	0.00028818452018026066	0.9732278024188573
TNFRSF25	True	6726.0	0.030753223489351826	0.03542641911277756	0.9956276085485888
PLEKHG5	True	3225.0	0.020767805240081875	0.023698206888432462	1.0188311228058404
NOL9	True	7162.5	0.013487220541757728	0.014524079316876512	0.9950004462479016
ZBTB48	True	10798.0	0.0061391885821705395	0.006379719689415891	0.9829395868454343
KLHL21	True	7974.0	0.02067853680605726	0.02253943320951534	0.989398576660727
PHF13	True	7884.0	0.009191301138259323	0.009730709494779957	0.9891974561076555
THAP3	True	10747.0	0.004762470955213159	0.004951307034560322	0.9833505769841663
DNAJC11	True	5657.0	0.025201470796637704	0.028216447244827667	1.0046850677149697
CAMTA1	True	10907.5	0.015173526057269916	0.016132298112038486	0.9814859059950403
VAMP3	True	14161.5	0.053473403771913695	0.06182215435344849	0.9651561317076105
PER3	True	10631.5	0.00626676805246405	0.006556797817980177	0.9830982933403579
UTS2	True	8284.5	0.001083991553718334	0.0011259630654096978	0.9948998574219905
TNFRSF9	True	3679.5	0.005642632917908624	0.006203685563466525	1.0199173117804181
ERRFI1	True	1481.5	0.03499917736658367	0.05060878007473032	1.0828530064849897
SLC45A1	True	8540.5	0.0007710560988876037	0.0008009617189781018	0.9936014138791658
RERE	True	15986.5	0.0645382261692646	0.0744531644875904	0.9391187849204822
ENO1	True	2596.0	0.062449096845216344	0.08460468978686211	1.0313646758407018
CA6	True	12193.0	0.00016043521337201467	0.00017156804943908378	0.9983446571519977
SLC2A7	True	11920.5	0.00017828890017693746	0.00018396039711582896	0.998055952872992
SLC2A5	True	6649.0	0.005279359985002903	0.005649725446525548	0.9992423998814806
GPR157	True	5515.0	0.008868322984600822	0.009704182548212087	1.004243057804792
H6PD	True	10772.0	0.011320725241554802	0.011932256064010943	0.9811653429273176
SPSB1	True	8559.5	0.022186181469584076	0.024224469961553412	0.9891605642654872
SLC25A33	True	5354.0	0.011753553162638037	0.012733495865598307	1.000724568080569
TMEM201	True	5056.5	0.01163006516223732	0.012668936192599976	1.0038535917385156
PIK3CD	True	8937.0	0.011227489321573539	0.011903858315727064	0.9845151520313207
CLSTN1	True	12965.5	0.05440849061832153	0.0640157224073107	0.970101606692087
CTNNBIP1	True	7693.5	0.029019804078104425	0.032533462727656205	0.9939439086529563
LZIC	True	10101.0	0.028982112961516253	0.03186613554675123	0.9831953549637987
NMNAT1	True	7531.5	0.006765679411512727	0.007147898427411508	0.9947729567300351
RBP7	True	3685.0	0.001724616551781085	0.0018535613874008407	1.014952752574848
UBE4B	True	11478.0	0.026753997645049116	0.029200311182877	0.9819844644064251
KIF1B	True	10309.5	0.02368874279172893	0.025638016174448386	0.9826364680807428
PGD	True	6660.0	0.030956805112502404	0.03491023327236918	0.9967657742395742
CENPS	True	6083.5	0.009685997043479059	0.010351209445217975	0.9989889010425469
CORT	True	11168.0	0.00045179746331346326	0.0004674633441501502	0.988514052023843
DFFA	True	6323.5	0.02049876009864658	0.0225550188700909	0.9961032631709166
PEX14	True	8783.5	0.004733830665963595	0.004950463155855619	0.9897737610734382
CASZ1	True	4512.5	0.0162245378839736	0.01790314088203463	1.0093204189589975
C1orf127	True	9744.0	0.0004734946521388903	0.0004943477853891709	0.9989902238346643
SRM	True	9747.0	0.06918080465822526	0.08809907263168264	0.9887449832314814
EXOSC10	True	8597.0	0.02845654505619634	0.031465479234150134	0.9878793623016319
MTOR	True	9113.0	0.01912043068051931	0.020556576919859546	0.9862111611605175
ANGPTL7	True	9681.0	0.0002634658643087567	0.000280506268013423	1.0113038789815532
UBIAD1	True	9791.0	0.008490295963293811	0.008956054263154649	0.986829426253002
FBXO2	True	8553.5	0.0010112129832010445	0.0010538329076851467	0.9930507163417334
FBXO44	True	11151.5	0.006696620359079796	0.006961736338352871	0.980753292952788
FBXO6	True	8195.5	0.0058357998904229975	0.006133525103645337	0.9909445853546269
MAD2L2	True	7812.5	0.022214821758833637	0.024353753404768048	0.9913415382636341
DRAXIN	True	8247.5	0.00033884809748509746	0.0003538593635345312	1.0122384168079277
AGTRAP	True	9155.5	0.027148142578055017	0.02997913436393706	0.9863576772046002
MTHFR	True	10398.0	0.014069945041640625	0.014877741222777406	0.9820536422116323
CLCN6	True	11508.5	0.011054283762778559	0.011590690679133802	0.9807099600580502
KIAA2013	True	9903.0	0.05388986581342575	0.0640241548069152	0.9833287805414667
PLOD1	True	9442.5	0.024079664142395055	0.026278565152192856	0.9817089723524923
MFN2	True	7599.5	0.02156353414226239	0.023490945081917368	0.9906355988782213
MIIP	True	10039.5	0.020144537993079463	0.02173388777722792	0.9852523878927285
TNFRSF8	True	6861.0	0.0014638783340675248	0.0015497641810995968	0.9999836795169076
TNFRSF1B	True	8261.5	0.022769277921275408	0.02504221534742678	0.9904326447691206
VPS13D	True	10108.0	0.014400486215403987	0.01520804659900283	0.9822912754440781
DHRS3	True	8283.5	0.029357536320164215	0.03342403698719369	0.9932870111551021
C1orf158	True	11913.5	0.00016775026560458722	0.00017218556850245206	0.9865740900555291
PRAMEF11	True	5377.0	0.00045613690107854863	0.0004787419438130685	1.0000625150172826
PRAMEF2	True	12333.0	0.00016155106879732234	0.00016623638023365484	0.9925224822494382
PRAMEF10	True	11766.5	0.00015845147039368992	0.00016388167703430844	0.9961257984852916
PRAMEF27	True	9243.0	0.0003600493505659433	0.00037256612271013503	0.9941968186877727
HNRNPCL2	True	12755.5	0.0001596913097551429	0.00016388128258831817	0.9859816532157885
PRAMEF18	True	10128.0	0.00031454724600061916	0.0003248629969446507	0.9996246066015164
PRAMEF15	True	11964.5	0.00027078091654132925	0.0002793865044061756	0.9769357112158747
PRAMEF14	True	9269.5	0.0004095189410879169	0.0004242293602598687	1.0003359025917773
LRRC38	True	11323.5	0.00015101243422497207	0.00015694087786280358	0.9981932524190503
PDPN	True	1943.0	0.025043763229860887	0.02952223530389383	1.0391562849719198
PRDM2	True	13757.5	0.02875497439049807	0.03081670740338969	0.9641713714745441
KAZN	True	7062.0	0.005712311890022281	0.006083621801126147	0.9930431110087151
TMEM51	True	8076.5	0.012103063878631628	0.012945973138913573	0.9912578683127757
FHAD1	True	7036.0	0.0007923813359045948	0.0008259731365066076	1.0083267132230131
EFHD2	True	16209.0	0.13000955544195872	0.1784215826506234	0.9259072737741245
CTRC	True	10811.5	0.00029247810536675627	0.0003033031859101463	0.9939852505291439
CELA2B	True	12485.5	0.00011604896423199824	0.00011925909399588856	0.959133647840196
CASP9	True	9794.0	0.011750577548170549	0.012461049079403307	0.9853029332196584
DNAJC16	True	8837.0	0.009201467821023237	0.009711181004872912	0.9882892687656624
AGMAT	True	1542.0	0.022804365375204527	0.027428671174293987	1.046333962400375
DDI2	True	9541.5	0.020214092981256978	0.021932306586092205	0.9861361226151225
PLEKHM2	True	11986.5	0.01674477448003927	0.01786119224676573	0.9751368271521585
SLC25A34	True	9528.0	0.000592643214774521	0.0006121294944719743	0.9905687224172449
TMEM82	True	11097.0	0.00045241738299418974	0.0004722981577186772	0.9890303618080853
FBLIM1	True	7338.0	0.019725100337099923	0.021408538884710972	0.992568430783223
UQCRHL	True	6971.0	0.0007479950867645785	0.0007816552534035516	0.9978509447701357
SPEN	True	8557.0	0.018448437746611798	0.019970086120321143	0.989700858597071
ZBTB17	True	10750.5	0.013804247466481253	0.014545803253751688	0.9810925871697502
HSPB7	True	7084.5	0.0017949154435754687	0.0019022876290205961	0.9856318626175667
FAM131C	True	12502.0	0.00026978904505216685	0.00027814720106700177	0.998612943795793
EPHA2	True	859.5	0.037671527126259416	0.05140620215520102	1.1029318706421944
ARHGEF19	True	6795.5	0.008897087257786531	0.009534309461262607	0.9969628086941534
CPLANE2	True	9462.5	0.0021661233483944884	0.0022534276180426653	0.9869230180557934
FBXO42	True	10521.5	0.008072222130611869	0.008500518480271953	0.9866364863738356
SZRD1	True	12799.0	0.04038169198645947	0.04468563156660147	0.9714876146350676
SPATA21	True	8966.0	0.00033711232237906326	0.0003563402158802924	1.003257990144313
NECAP2	True	12515.0	0.029068653748945673	0.031433863090137695	0.9728457152703781
NBPF1	True	10597.0	0.0015752159087260018	0.0016329909989981648	0.9815778752819385
CROCC	True	7881.0	0.00855414769040864	0.009027000621686274	0.9890080877402294
MFAP2	True	3196.0	0.028210064991139486	0.034567886657909185	1.0273211381092155
ATP13A2	True	5975.0	0.012655412314158928	0.013721951618840707	0.9977131447964643
SDHB	True	4316.5	0.049744462908407734	0.06027612166114657	1.0104194767810613
PADI2	True	1699.5	0.012090417517144809	0.014715530086614954	1.0647389703810408
PADI1	True	5156.0	0.0006829035202882974	0.0007860878311500072	1.0250887130401936
PADI3	True	10989.5	0.00021659993644583433	0.00022919941081723141	1.0093797210528963
PADI4	True	7174.0	0.00043319987289166867	0.0004573131189457541	1.012257005796481
RCC2	True	9044.0	0.025324338877357695	0.027777659227952594	0.9890383494961253
ARHGEF10L	True	5476.0	0.031632021628749694	0.035904478092266025	1.0034158859118585
ACTL8	True	9886.0	0.00042824051544585677	0.00044715070711266795	1.0035048533092057
IGSF21	True	7986.0	0.0007970927254781162	0.0008336526528682325	0.9937188597811062
ALDH4A1	True	6274.0	0.005744299745547768	0.006214678317251254	0.9996457812598979
UBR4	True	12946.0	0.04348972129774978	0.049203794150698726	0.9714456978577776
EMC1	True	6479.0	0.012996492122494641	0.013999729183063745	0.9970909190023189
MRTO4	True	5943.5	0.011406398141431203	0.012316518974179904	0.9991505072261819
AKR7A2	True	7811.0	0.014811492963725649	0.015936844387255743	0.9909101130085917
SLC66A1	True	8222.5	0.003711955064254055	0.003880929256906067	0.9917279137636809
CAPZB	True	16184.5	0.07854927884123622	0.09201612481784376	0.9246149626750596
MICOS10	True	12883.0	0.09570964747523451	0.12562435171422662	0.9762737730816828
NBL1	True	16174.5	0.11898862335800324	0.16148183489765008	0.925325156668898
RNF186	True	1762.5	0.008133594179003792	0.010097553047112538	1.0610267725122247
OTUD3	True	7527.0	0.014142475644285623	0.015189250372036568	0.994849122972505
PLA2G2E	True	10103.5	0.0001367542815682629	0.00014169495484844574	1.0164621017078808
PLA2G2A	True	221.0	0.06707220985620219	0.21540582566778266	1.6482829250594857
PLA2G5	True	7431.5	0.0015524028644752672	0.0016228956654880636	0.995044998175648
PLA2G2D	True	2190.0	0.004129161009382981	0.00467499868846596	1.0318126765604747
PLA2G2F	True	7858.5	0.0005573077929731113	0.0006328754483843138	1.0205841038086332
PLA2G2C	True	11148.0	0.0002722687237750728	0.0002818653754832386	1.0010848685202036
UBXN10	True	8324.0	0.003924339546870949	0.004199310005091084	0.993459922823935
VWA5B1	True	10527.5	0.0012986077471858436	0.0014509095936867341	0.9985481722581672
CAMK2N1	True	2560.5	0.08263802108743583	0.12663670481761466	1.039719403541105
MUL1	True	8854.0	0.007026045677417851	0.007366238800220495	0.9903623843570587
FAM43B	True	11412.5	0.00023036215335796233	0.0002384920559910361	0.9957552516722391
CDA	True	3231.0	0.0067129862386509755	0.007546969097383751	1.0305271075132623
PINK1	True	9578.5	0.021868410641243678	0.02386366574207951	0.9868487602929558
DDOST	True	5294.0	0.03457738401581738	0.040198430323668134	1.0050134551573204
HP1BP3	True	11263.0	0.028222587368690162	0.030951683976646095	0.9784141017862966
EIF4G3	True	11146.0	0.03050996700663475	0.03331251733531302	0.9786537281010937
ECE1	True	11964.5	0.04962395052247451	0.05690209507128236	0.9786288562227691
